"RSV_ID","SKU_ID","DC_ID","GID_MKT_CD","RSV_QTY","LST_UPDT_DTTM","LST_UPDT_USER_ID","ORDER_NO","XPCT_SHP_DT"
"201808241343579542820","2040001121105","3532",US,1,2018-08-24 13:43:57,ECOM,,
"201808241349582140080","2033440024000","3989",US,1,2018-08-24 13:49:58,ECOM,,
"201808241354442501130","2026060220008","3295",US,1,2018-08-24 13:54:44,ECOM,,
"201808241359562284370","2922510120010","5522",US,1,2018-08-24 13:59:56,ECOM,,
"201808241344259042000","2837760021202","6624",US,1,2018-08-24 13:44:25,ECOM,,
"201808241344588323430","3531840020002","3454",US,1,2018-08-24 13:44:58,ECOM,,
"201808241439425533060","1193840020003","5717",US,3,2018-08-24 14:49:30,ordervalidate,TK6QPWX,
"201808231502572452270","2844250122000","5891",US,1,2018-08-23 15:56:29,ordervalidate,TK71BDD,
"201808241441370697330","2230180020003","3297",US,1,2018-08-24 14:41:37,ECOM,,
"201808241514214338780","2842680020004","5115",US,1,2018-08-24 15:14:21,ECOM,,
"201808211137599383720","2839280121401","6043",US,1,2018-08-21 12:13:57,ordervalidate,TK7DJR0,
"201808191109486731610","6025130121802","7210",US,2,2018-08-19 11:12:06,ordervalidate,TK89B86,
"201808241328171296600","2869640020006","4514",US,1,2018-08-24 13:28:17,ECOM,,
"201808241328554138910","1468700322300","3900",US,1,2018-08-24 13:28:55,ECOM,,
"201808241329454587830","3787060220003","5138",US,1,2018-08-24 13:29:45,ECOM,,
"201808241353269402160","2911900224000","7177",US,1,2018-08-24 13:53:26,ECOM,,
"201808241408272502090","2913180421107","5599",US,1,2018-08-24 14:08:27,ECOM,,
"201808241412517144100","3401120120001","7189",US,1,2018-08-24 14:12:51,ECOM,,
"201808241339113293390","1361990520002","3068",US,1,2018-08-24 13:39:11,ECOM,,
"201808241413337158370","2076930123434","5271",US,1,2018-08-24 14:13:33,ECOM,,
"201808241414449965720","2204550020004","6596",US,1,2018-08-24 14:14:44,ECOM,,
"201808241421033346190","2868900022000","5609",US,1,2018-08-24 14:21:03,ECOM,,
"201808241454246241280","2870590025000","5988",US,1,2018-08-24 14:54:24,ECOM,,
"201808190432319814720","2862670023000","5900",US,2,2018-08-19 05:00:40,ordervalidate,TK8VHWL,
"201808241515221699290","2190980020002","5975",US,1,2018-08-24 15:15:22,ECOM,,
"201808241339219277170","2844250125000","5871",US,1,2018-08-24 13:39:21,ECOM,,
"201808241410055474760","2843620220010","3427",US,1,2018-08-24 14:10:05,ECOM,,
"201808241408272354630","2913180221107","5599",US,1,2018-08-24 14:08:27,ECOM,,
"201808241339058477900","1412910224000","6484",US,1,2018-08-24 13:39:05,ECOM,,
"201808241339219444400","2863910125000","5871",US,1,2018-08-24 13:39:21,ECOM,,
"201808241340317693850","2865150321824","5822",US,1,2018-08-24 13:40:31,ECOM,,
"201808241428181797950","7751801120009","6481",US,1,2018-08-24 14:28:18,ECOM,,
"201808181350005336950","1467730023000","5591",US,2,2018-08-18 13:54:19,ordervalidate,TK8FX6D,
"201808241414472900710","2202390023000","5626",US,1,2018-08-24 14:14:47,ECOM,,
"201808241421445603330","3401100020003","5522",US,1,2018-08-24 14:21:44,ECOM,,
"201808241418216107470","2843910420002","3415",US,1,2018-08-24 14:18:21,ECOM,,
"201808241515312898390","2016160220002","5851",US,2,2018-08-24 15:15:31,ECOM,,
"201808241342552085120","1410510020002","5840",US,1,2018-08-24 13:42:55,ECOM,,
"201808241519083847980","8579740821107","4510",US,1,2018-08-24 15:19:08,ECOM,,
"201808241343337306010","2907080320001","6547",US,1,2018-08-24 13:43:33,ECOM,,
"201808241343512007340","2913210421106","6169",US,1,2018-08-24 13:43:51,ECOM,,
"201808241352489139140","2224650320004","6153",US,1,2018-08-24 13:52:48,ECOM,,
