"DC_ID","ADDR_LN1_TXT","ADDR_LN2_TXT","ADDR_LN3_TXT","CITY_NM","CNTY_NM","ST_PROV_CD","PSTL_CD","CTRY_CD","PHN_NBR","LATITUDE","LONGITUDE","OPR_STRT_TM","OPR_END_TM","CRT_USER_ID","CRT_DTTM","LST_UPDT_USER_ID","LST_UPDT_DTTM"
"1628","2200 North Maple Avenue",,,RAPID CITY,,SD,"57701",US,"341-2278",,,2013-01-01 10:00:00,2013-01-01 23:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1701","4502 S STEELE ST",,,TACOMA,,WA,"98409",US,"473-2727",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1703","401 NE NORTHGATE WAY",,,SEATTLE,,WA,"98125-8522",US,"361-0305",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1704","1048 SOUTHCENTER MALL",,,TUKWILA,,WA,"98188-2823",US,"242-8087",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1707","1530 5th Ave",,,SEATTLE,,WA,"98101-1604",US,"254-8000",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1708","3000 184TH STREET S.W.",,,LYNNWOOD,,WA,"98037",US,"771-5817",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1709","183 BELLEVUE SQ",,,BELLEVUE,,WA,"98004-5021",US,"454-9132",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1711","10315 SILVERDALE WAY NW",,,SILVERDALE,,WA,"98383",US,"692-0885",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1713","1 Bellis Fair Parkway",,,BELLINGHAM,,WA,"98226",US,"715-0155",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1715","4625 27th Ave NE",,,SEATTLE,,WA,"98105",US,"525-1559",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1716","16428 NE 74TH ST",,,REDMOND,,WA,"98052-7802",US,"869-9772",,,2013-01-01 11:00:00,2013-01-01 23:59:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1717","320 W 5TH AVE",,,ANCHORAGE,,AK,"99501",US,"258-6910",,,2013-01-01 12:00:00,2013-01-01 01:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1719","800 East Dimond Blvd.",,,ANCHORAGE,,AK,"99515",US,"336-0991",,,2013-01-01 12:00:00,2013-01-01 01:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1809","27482 NOVI ROAD",,,NOVI,,MI,"48377",US,"349-3544",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1811","280 BRIARWOOD CIR",,,ANN ARBOR,,MI,"48108",US,"994-5523",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1819","2203 S. PROMENADE BLVD",,,ROGERS,,AR,"72758",US,"621-0522",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1820","30825 ORCHARD LAKE RD.",,,FARMINGTON HILLS,,MI,"48334",US,"626-2408",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1825","37604 6 MILE RD",,,LIVONIA,,MI,"48152-2947",US,"462-9610",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
